[2025-05-19T15:16:51.245+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T14:49:24.473916+00:00 [queued]>
[2025-05-19T15:16:51.256+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T14:49:24.473916+00:00 [queued]>
[2025-05-19T15:16:51.257+0000] {taskinstance.py:1283} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T15:16:51.257+0000] {taskinstance.py:1284} INFO - Starting attempt 1 of 3
[2025-05-19T15:16:51.258+0000] {taskinstance.py:1285} INFO - 
--------------------------------------------------------------------------------
[2025-05-19T15:16:51.273+0000] {taskinstance.py:1304} INFO - Executing <Task(PythonOperator): save_to_bigquery> on 2025-05-19 14:49:24.473916+00:00
[2025-05-19T15:16:51.278+0000] {standard_task_runner.py:55} INFO - Started process 429 to run task
[2025-05-19T15:16:51.282+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'math_crawler_pipeline', 'save_to_bigquery', 'manual__2025-05-19T14:49:24.473916+00:00', '--job-id', '105', '--raw', '--subdir', 'DAGS_FOLDER/MathDag.py', '--cfg-path', '/tmp/tmpe4v2pll7']
[2025-05-19T15:16:51.284+0000] {standard_task_runner.py:83} INFO - Job 105: Subtask save_to_bigquery
[2025-05-19T15:16:51.342+0000] {task_command.py:389} INFO - Running <TaskInstance: math_crawler_pipeline.save_to_bigquery manual__2025-05-19T14:49:24.473916+00:00 [running]> on host 11cd72090704
[2025-05-19T15:16:51.393+0000] {taskinstance.py:1511} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=math_crawler_pipeline
AIRFLOW_CTX_TASK_ID=save_to_bigquery
AIRFLOW_CTX_EXECUTION_DATE=2025-05-19T14:49:24.473916+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-05-19T14:49:24.473916+00:00
[2025-05-19T15:16:52.364+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:16:52.364+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 1
[2025-05-19T15:16:52.954+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
[2025-05-19T15:16:52.954+0000] {MathDag.py:73} INFO - Đã lưu BigQuery cho link 2
[2025-05-19T15:16:53.467+0000] {MathCrawler.py:320} INFO - Thêm dòng thành công vào BigQuery.
